Vendor,Expense_Dept,Allocation_Schedule,GL_Code,email_domain,billing_party
REACH - Subscription,AV,Billed separate,7112,reach_-_subscription,Chelsea Piers
REACH - Hardware,AV,"100%, no allocation",7110,reach_-_hardware,Chelsea Piers
North Shore Neon,AV,"100%, no allocation",7272,north_shore_neon,Chelsea Piers
Jared,AV,Billed separate,7110,jared,Chelsea Piers
Gantner,Security,"100%, no allocation",7110,gantner,Chelsea Piers
ExacqVision,Security,"100%, no allocation",7112,exacqvision,Chelsea Piers
ExacqVision,Security,"100%, no allocation",7110,exacqvision,Chelsea Piers
Spectrum Charter coax,Telecomm Providers,,6406,spectrum_charter_coax,Chelsea Piers
Spectrum Fiber Internet LAN,Telecomm Providers,"100%, no allocation",6406,spectrum_fiber_internet_lan,Chelsea Piers
FuboTV (Sky Rink tvs),Telecomm Providers,"100%, no allocation",6406,fubotv_(sky_rink_tvs),Chelsea Piers
Hulu,Telecomm Providers,,6406,hulu,Chelsea Piers
Sling TV,Telecomm Providers,,6406,sling_tv,Chelsea Piers
BMI,Telecomm Providers,"100%, no allocation",6406,bmi,Chelsea Piers
Jared,Telecomm Providers,,6406,jared,Chelsea Piers
Spotify,Telecomm Providers,"100%, no allocation",6406,spotify,Chelsea Piers
NuVisions,Telecomm Providers,Billed separate,6406,nuvisions,Chelsea Piers
Dynalink,Telecomm Providers,Not allocated to venues in previous years,6406,dynalink,Chelsea Piers
PGI/LoopUp,Telecomm Providers,"100%, no allocation",6406,pgi/loopup,Chelsea Piers
FluentStream for CPNY,Telecomm Providers,21,6406,fluentstream_for_cpny,Chelsea Piers
NuVisions,Telecomm Providers,"100%, no allocation",6406,nuvisions,Chelsea Piers
Spectrum,Telecomm Providers,"100%, no allocation",6406,spectrum,Chelsea Piers
Verizon,Telecomm Providers,"100%, no allocation",6406,verizon,Chelsea Piers
Verizon Wireless,Telecomm Providers,"100%, no allocation",6406,verizon_wireless,Chelsea Piers
Apple Developer,Mobile App,20,7112,apple_developer,Chelsea Piers
Firebase,Mobile App,20,7112,firebase.google.com,Chelsea Piers
Launch Darkly,Mobile App,20,7112,launch_darkly,Chelsea Piers
New Relic,Mobile App,20,7112,new_relic,Chelsea Piers
Sanity,Mobile App,10,7112,sanity,Chelsea Piers
Expo,Mobile App,20,7112,expo,Chelsea Piers
BrowserStack,Mobile App,20,7112,browserstack,Chelsea Piers
Sentry,Mobile App,20,7112,sentry,Chelsea Piers
Allyant 360,Websites,18,7110,allyant_360,Chelsea Piers
Github,Websites,1,7112,github.com,Chelsea Piers
GoDaddy,Websites,1,7112,godaddy.com,Chelsea Piers
Microsoft Clarity,Websites,1,7112,microsoft_clarity,Chelsea Piers
Mura,Websites,1,7112,mura,Chelsea Piers
Squarespace,Websites,"100%, no allocation",7112,squarespace,Chelsea Piers
Wordpress,Websites,1,7112,wordpress,Chelsea Piers
Zoho Forms - Standard,Websites,1,7112,zoho_forms_-_standard,Chelsea Piers
Zoho SalesIQ - Enterprise,Websites,1,7112,zoho_salesiq_-_enterprise,Chelsea Piers
Hydrow,Connected Fitness,,6214,hydrow,Chelsea Piers
ICG,Connected Fitness,,6214,icg,Chelsea Piers
InBody,Connected Fitness,,6214,inbody,Chelsea Piers
Mirror,Connected Fitness,,6214,mirror,Chelsea Piers
Peloton,Connected Fitness,,6214,peloton,Chelsea Piers
Varies,,19,7113,varies,Chelsea Piers
Myriad360,Networks,22,1215,myriad360,Chelsea Piers
Myriad360,Networks,23,1215,myriad360,Chelsea Piers
Myriad360,Networks,24,1215,myriad360,Chelsea Piers
Dell,Hardware - Individuals,Alex will provide Actual % allocations when purchases are made,1215,dell,Chelsea Piers
Bond,Software - Operations,27,1331,bond,Chelsea Piers
Daktronics,AV,100% no allocation,1215,daktronics,Chelsea Piers
Gantner,Security,25,1215,gantner,Chelsea Piers
ExacqVision,Security,100% no allocation,1215,exacqvision,Chelsea Piers
Consultant,Mobile App,29,1331,consultant,Chelsea Piers
Lagarsoft,Mobile App,29,1331,lagarsoft,Chelsea Piers
Consultant,Websites,30,1331,consultant,Chelsea Piers
Roboto,Websites,30,1331,roboto,Chelsea Piers
Lagarsoft,Websites,30,1331,lagarsoft,Chelsea Piers
